Weeks,Total Individuals Vaccinated,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,Total Sputnik V Administered,AEFI,18-45 years (Age),45-60 years (Age),60+ years (Age),Total Doses Administered
1,1568480,138139,59664,1568480,0,599161,969155,164,22971,1545509,0,0,0,0,0,1568480
2,11001738,440581,150431,11001738,0,3753774,7246354,1610,170712,10831026,0,0,0,0,0,11001738
3,25979142,763700,208546,25979142,0,8993804,16981230,4108,572283,25406859,0,0,0,0,0,25979142
4,42742539,1230531,265933,42742539,0,17938273,24797704,6562,2886496,39856043,0,0,0,0,0,42742539
5,58937237,1722676,299000,58937237,1937143,28955373,29974219,7645,6094175,52843062,0,0,0,0,0,60874380
6,72354413,2275908,322434,72354413,10180123,37932000,34413670,8743,7882499,64471914,0,0,0,0,0,82534536
7,85673824,3437790,368049,85673824,19334788,46619393,39044555,9876,9049997,76623827,0,0,0,0,0,105008612
8,127581098,17437514,282827,108648547,30474383,69996993,57570537,13560,11383809,116192563,0,0,0,0,0,139122930
9,193997495,34704167,219172,177204815,43337177,105734378,88242914,20197,18087553,202450800,0,58716,32078126,37181517,52575619,220541992
10,295088139,42585606,287467,295088139,54439507,157779315,137276697,32127,30957135,318570504,0,107895,60618978,85904344,148439852,349527646
11,380817570,43766015,289505,380817570,60536440,201397678,179377657,42235,41234793,400119210,0,113329,65662039,114319611,200702915,441354010
12,514204836,62850094,413393,514204836,71383782,269388547,244757901,58388,52508495,533080116,0,121140,69909403,195851052,248305487,585588618
13,669391264,69490205,464127,669391264,90063977,348385547,320925505,80212,65601891,693853343,0,128180,71934922,296868395,300446634,759455241
14,769909479,67482157,472457,769909479,121214074,401218471,368594761,96247,80373303,810750243,0,132857,75602498,359432343,334714129,891123553
15,847776929,58776895,418923,847776929,165318651,442318495,405348286,110148,93872495,919223082,0,136920,92153788,394944679,360492825,1013095580
16,902442073,55645342,388662,902442073,206953492,471962001,430359892,120180,104648025,1004747540,0,139877,110421528,415966798,375931777,1109395565
17,955724813,50536836,361233,955724813,259089309,501956732,453637156,130925,119712776,1095101336,0,142248,131157268,437293485,387126705,1214814122
18,1010109099,48519090,298124,1010109099,286336839,533144437,476820190,144472,135673325,1160771654,275,144265,159313572,455074205,395515196,1296445938
19,1083454493,63855652,310275,1083454493,294618548,575695758,507596370,162365,148743747,1229320061,9233,146792,201329516,477454845,404404034,1378073041
20,1197489957,72554543,272771,1197489957,305639292,641408439,555892483,189035,168016329,1335029738,83182,149271,265836301,512670467,418617844,1503129249
21,1330107572,80147794,283866,1330107572,318394562,716690058,613193009,224505,193704219,1454662537,135378,153039,345230419,550384935,433968181,1648502134
22,1470850017,86814445,284251,1470850017,334705291,794191593,676400722,257702,218902258,1586453896,199154,155028,439848358,582654415,447660619,1805555308
23,1671239688,166875011,362136,1671239688,359588047,929635475,794961935,309797,244017283,1786480108,330344,157111,595399603,640743183,488031883,2030827735
